COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Afghanistan,AFG,EMRO,REPORTING,2022-03-06,5597130,4952744,14.378,12.723,4281934,11,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,4
Albania,ALB,EURO,REPORTING,2022-02-20,2707658,1284034,94.1,45.118,1192155,41.889,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5
Algeria,DZA,AFRO,REPORTING,2022-02-20,13631683,7456361,31.086,17.004,6076272,13.857,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",2021-01-30,4
American Samoa,ASM,WPRO,REPORTING,2022-02-16,85050,42212,154.084,76.475,37805,68.491,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-21,3
Andorra,AND,EURO,REPORTING,2022-02-13,142420,57797,184.3,75.872,53250,69.903,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-20,3
Angola,AGO,AFRO,REPORTING,2022-03-02,16633167,10780927,50.609,32.802,5609044,17.066,SII - Covishield,2021-03-10,1
Anguilla,AIA,AMRO,REPORTING,2022-02-25,22165,10370,147.747,69.124,9531,63.532,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-02-05,2
Antigua and Barbuda,ATG,AMRO,REPORTING,2022-02-25,124726,63582,127.364,64.927,61144,62.437,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,6
Argentina,ARG,AMRO,REPORTING,2022-02-25,93008081,40572052,205.789,89.77,36237826,80.18,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,7
Armenia,ARM,EURO,REPORTING,2022-02-13,1971565,1080404,66.5,36.46,872336,29.439,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Sinovac - CoronaVac",2021-06-16,5
